sample,species,%_of_10_best_matches=species,top_hit_distance,top_hit_p_value,top_hit_shared_hashes,num_genomes,maximum_genome_length,minimum_genome_length,result,filename,total_length,number,mean_length,longest,shortest,N_count,Gaps,N50,N50n,N70,N70n,N90,N90n,#IID,HOM_REF_CT,HOM_ALT_SNP_CT,HET_SNP_CT,DIPLOID_TRANSITION_CT,DIPLOID_TRANSVERSION_CT,DIPLOID_NONSNP_NONSYMBOLIC_CT,DIPLOID_SINGLETON_CT,HAP_REF_INCL_FEMALE_Y_CT,HAP_ALT_INCL_FEMALE_Y_CT,MISSING_INCL_FEMALE_Y_CT,Contamination_Antony,Contamination_Julio,Contamination,Host,Collection_Year,Continent,Country,Dataset,Research_Point,Date_Collected,State_grocery,Organic_RWA,State,CA,Notes,GWU_RUN_NAME,Isolate_submitted,lat,lon,ST_Enterobase,ST_Pasteur,speciator
SB279407899,Escherichia coli,100.0,0.00240836,0.0,906/1000,823.0,6162737,3976195,good,SB279407899,5084554.0,492.0,10334.46,260935.0,78.0,968.0,10.0,124558.0,15.0,63993.0,25.0,33653.0,45.0,SB279407899,677088.0,49399.0,449.0,35776.0,13586.0,0.0,145.0,0.0,0.0,24.0,Non contaminated,Non contaminated,Non contaminated,Turkey,2019.0,North America,United States,SB27,31_KP_FUTI_CN-072_M2,05/02/2019,CA,1.0,Utah,0.0,,WELLCOME_Run_6,Escherichia coli,39.4225192,-111.714358,34,6e98cfacd81a355834f6e10fbbeaecbae6f18da3,Escherichia coli
SB278790360,Escherichia coli,100.0,0.000780658,0.0,968/1000,823.0,6162737,3976195,good,SB278790360,5153178.0,230.0,22405.12,544649.0,78.0,1252.0,13.0,246853.0,7.0,173460.0,12.0,69703.0,21.0,SB278790360,525767.0,96181.0,486.0,70656.0,25152.0,0.0,30.0,0.0,0.0,64.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,11497_KP_Clinical,15/08/2018,,,,,,WELLCOME_Run_3,Escherichia coli,,,131,43,Escherichia coli
SB277889404,Escherichia coli,100.0,0.00541137,0.0,806/1000,823.0,6162737,3976195,good,SB277889404,5048187.0,391.0,12910.96,245262.0,78.0,977.0,10.0,97068.0,19.0,72271.0,31.0,27037.0,53.0,SB277889404,595422.0,48770.0,1246.0,35967.0,13569.0,0.0,14.0,0.0,0.0,76230.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2017.0,North America,United States,SB27,33_KP_FUTI_CN-006,06/10/2017,CA,1.0,California,1.0,,WELLCOME_Run_1,Escherichia coli,36.7014631,-118.755997,10,2,Escherichia coli
SB2710446019,Escherichia coli,100.0,0.00366686,0.0,862/1000,823.0,6162737,3976195,good,SB2710446019,5545190.0,1637.0,3387.41,465907.0,78.0,994.0,27.0,189316.0,9.0,117368.0,17.0,951.0,76.0,SB2710446019,674685.0,94393.0,492.0,69428.0,24467.0,0.0,40.0,0.0,0.0,176.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,20965_KP_Clinical,10/10/2019,,,,,,WELLCOME_Run_9,Escherichia coli,,,9bfb15377c1348b8a422882128b79543bbc76ea0,1,Escherichia coli
SB278790816,Escherichia coli,100.0,0.0055427,0.0,802/1000,823.0,6162737,3976195,good,SB278790816,5359092.0,352.0,15224.69,375042.0,78.0,1163.0,12.0,232261.0,9.0,178863.0,14.0,36325.0,29.0,SB278790816,639642.0,95070.0,856.0,70183.0,24783.0,0.0,259.0,0.0,0.0,54.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,7007_KP_Clinical,06/02/2018,,,,,,WELLCOME_Run_4,Escherichia coli,,,14,6,Escherichia coli
SB279407205,Escherichia coli,100.0,0.0134525,0.0,605/1000,823.0,6162737,3976195,good,SB279407205,5011945.0,192.0,26103.88,522335.0,78.0,786.0,8.0,196096.0,8.0,160005.0,14.0,90900.0,22.0,SB279407205,636216.0,90109.0,574.0,65377.0,24299.0,0.0,1810.0,0.0,0.0,61.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,20011_KP_Clinical,28/08/2019,,,,,,WELLCOME_Run_6,Escherichia coli,,,68,14,Escherichia coli
SB2710445522,Escherichia coli,100.0,0.0118471,0.0,639/1000,823.0,6162737,3976195,good,SB2710445522,5050261.0,103.0,49031.66,1120866.0,78.0,590.0,6.0,711435.0,3.0,481042.0,5.0,103101.0,10.0,SB2710445522,644974.0,92666.0,150.0,66864.0,24813.0,0.0,1942.0,0.0,0.0,36.0,Non contaminated,Non contaminated,Non contaminated,Turkey,2019.0,North America,United States,SB27,10_KP_FUTI_CN-083_M2,29/04/2019,CA,0.0,Minnesota,0.0,,WELLCOME_Run_9,Escherichia coli,45.9896587,-94.6113288,6006,9cca6bc78298e806313df97224355adb9b849578,Escherichia coli
SB278790649,Escherichia coli,100.0,0.00834599,0.0,723/1000,823.0,6162737,3976195,good,SB278790649,4769629.0,147.0,32446.46,683803.0,78.0,390.0,4.0,466200.0,4.0,348572.0,7.0,133325.0,11.0,SB278790649,528152.0,94206.0,78.0,69149.0,24517.0,0.0,10.0,0.0,0.0,47.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,8826_KP_Clinical,23/04/2018,,,,,,WELLCOME_Run_4,Escherichia coli,,,420,61,Escherichia coli
SB2711674210,Escherichia coli,100.0,0.00680395,0.0,765/1000,823.0,6162737,3976195,good,SB2711674210,5086992.0,429.0,11857.79,240607.0,78.0,1273.0,13.0,99172.0,18.0,50210.0,31.0,17135.0,67.0,SB2711674210,721089.0,48046.0,582.0,34956.0,13157.0,0.0,11.0,0.0,0.0,17.0,Non contaminated,Non contaminated,Non contaminated,Pork,2021.0,North America,United States,SB27,8_DC_MEAT_CN-141_M3,10/12/2021,VA,0.0,Missouri,0.0,,WELLCOME_Run_9,Escherichia coli,38.7604815,-92.5617875,1434,817,Escherichia coli
SB2711672885,Escherichia coli,100.0,0.00427048,0.0,842/1000,823.0,6162737,3976195,good,SB2711672885,4723923.0,224.0,21088.94,312682.0,78.0,1072.0,12.0,132243.0,12.0,95454.0,20.0,34467.0,37.0,SB2711672885,722030.0,47306.0,352.0,34315.0,12898.0,0.0,23.0,0.0,0.0,49.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,24325_KP_Clinical,27/02/2020,,,,,,WELLCOME_Run_9,Escherichia coli,,,10,2,Escherichia coli
SB277889558,Escherichia coli,100.0,0.00393593,0.0,853/1000,823.0,6162737,3976195,good,SB277889558,5204790.0,316.0,16470.85,422083.0,78.0,876.0,9.0,237886.0,9.0,111258.0,16.0,44453.0,30.0,SB277889558,533077.0,87803.0,1130.0,64689.0,23513.0,0.0,2.0,0.0,0.0,99650.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2017.0,North America,United States,SB27,28_KP_FUTI_CN-011,13/11/2017,CA,1.0,California,1.0,,WELLCOME_Run_1,Escherichia coli,36.7014631,-118.755997,117,48,Escherichia coli
SB279408887,Escherichia coli,100.0,0.0018924,0.0,925/1000,823.0,6162737,3976195,good,SB279408887,5309636.0,402.0,13208.05,459827.0,78.0,1177.0,12.0,287238.0,8.0,154914.0,12.0,54256.0,22.0,SB279408887,711521.0,95788.0,794.0,70597.0,24995.0,0.0,16.0,0.0,0.0,137.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,25179_KP_Clinical,29/04/2020,,,,,,WELLCOME_Run_7,Escherichia coli,,,73,4,Escherichia coli
SB2710442118,Escherichia coli,100.0,0.00715996,0.0,755/1000,823.0,6162737,3976195,good,SB2710442118,5040175.0,355.0,14197.68,210432.0,78.0,484.0,5.0,69071.0,22.0,45317.0,40.0,21127.0,73.0,SB2710442118,768441.0,47948.0,387.0,34577.0,13216.0,0.0,35.0,0.0,0.0,13.0,Non contaminated,Non contaminated,Non contaminated,Beef,2018.0,North America,United States,SB27,1_KP_FUTI_CN-063_M4,18/11/2018,CA,0.0,California,1.0,,WELLCOME_Run_8,Escherichia coli,36.7014631,-118.755997,399,2017bcad456d656d39aa6e8fc868fc7b7b59ee35,Escherichia coli
SB279406418,Escherichia coli,100.0,0.00154832,0.0,938/1000,823.0,6162737,3976195,good,SB279406418,5069556.0,188.0,26965.72,498962.0,78.0,677.0,7.0,206146.0,8.0,138417.0,13.0,45096.0,23.0,SB279406418,637831.0,97059.0,673.0,71241.0,25445.0,0.0,196.0,0.0,0.0,73.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2018.0,North America,United States,SB27,13_KP_FUTI_CN-031,02/04/2018,CA,0.0,,,,WELLCOME_Run_5,Escherichia coli,,,95,1,Escherichia coli
SB2710442423,Escherichia coli,100.0,0.00969064,0.0,689/1000,823.0,6162737,3976195,good,SB2710442423,4867580.0,444.0,10963.02,352316.0,78.0,786.0,8.0,77901.0,18.0,53210.0,33.0,26787.0,57.0,SB2710442423,771101.0,44728.0,938.0,32792.0,12316.0,0.0,75.0,0.0,0.0,23.0,Non contaminated,Non contaminated,Non contaminated,Pork,2019.0,North America,United States,SB27,2_KP_FUTI_CN-097_M3,19/08/2019,CA,0.0,California,1.0,,WELLCOME_Run_8,Escherichia coli,36.7014631,-118.755997,1429,ce0a443ee152200059f9428c5bad6e658540627a,Escherichia coli
SB278791776,Escherichia coli,100.0,0.00752278,0.0,745/1000,823.0,6162737,3976195,good,SB278791776,4842011.0,198.0,24454.6,547139.0,78.0,681.0,7.0,201306.0,9.0,136190.0,14.0,79178.0,24.0,SB278791776,697094.0,38081.0,437.0,27606.0,10412.0,0.0,81.0,0.0,0.0,13.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2018.0,North America,United States,SB27,25_KP_FUTI_CN-023,05/02/2018,CA,1.0,Nebraska,0.0,,WELLCOME_Run_5,Escherichia coli,41.7370229,-99.5873816,2175,5376a02cd30cc4df9ba06cf2fe7d847abbe5539a,Escherichia coli
SB2710446128,Escherichia coli,100.0,0.0113529,0.0,650/1000,823.0,6162737,3976195,good,SB2710446128,5324302.0,1088.0,4893.66,316823.0,78.0,1364.0,37.0,178246.0,11.0,95093.0,19.0,21351.0,39.0,SB2710446128,721491.0,47902.0,310.0,34464.0,13280.0,0.0,23.0,0.0,0.0,29.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,11532_KP_Clinical,15/08/2018,,,,,,WELLCOME_Run_9,Escherichia coli,,,607,378,Shigella
SB278344528,Escherichia coli,100.0,0.00229842,0.0,910/1000,823.0,6162737,3976195,good,SB278344528,5271916.0,261.0,20198.91,544679.0,78.0,972.0,10.0,234647.0,8.0,165014.0,14.0,50848.0,24.0,SB278344528,526115.0,95249.0,1078.0,70439.0,25102.0,0.0,7.0,0.0,0.0,61.0,Non contaminated,Non contaminated,Non contaminated,Human,2017.0,North America,United States,SB27,2237_KP_Clinical,31/03/2017,,,,,,WELLCOME_Run_2,Escherichia coli,,,131,43,Escherichia coli
SB277889755,Escherichia coli,100.0,0.00436283,0.0,839/1000,823.0,6162737,3976195,good,SB277889755,5039682.0,217.0,23224.34,430990.0,78.0,984.0,10.0,185811.0,10.0,131229.0,16.0,61053.0,27.0,SB277889755,627279.0,37973.0,644.0,27654.0,10556.0,0.0,3.0,0.0,0.0,55768.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2017.0,North America,United States,SB27,19_KP_FUTI_CN-017,26/12/2017,CA,1.0,California,1.0,,WELLCOME_Run_1,Escherichia coli,36.7014631,-118.755997,602,9c0999232ac8f9f1a0bc8a4bc97303d308a899ef,Escherichia coli
SB278791843,Escherichia coli,100.0,0.00800497,0.0,732/1000,823.0,6162737,3976195,good,SB278791843,5495063.0,289.0,19014.06,425928.0,78.0,484.0,5.0,130110.0,12.0,93293.0,22.0,33750.0,40.0,SB278791843,666997.0,67619.0,950.0,49195.0,18699.0,0.0,27.0,0.0,0.0,60.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2018.0,North America,United States,SB27,37_KP_FUTI_CN-028,10/03/2018,CA,1.0,California,1.0,,WELLCOME_Run_5,Escherichia coli,36.7014631,-118.755997,57,533,Escherichia coli
SB277889361,Escherichia coli,100.0,0.010441,0.0,671/1000,823.0,6162737,3976195,good,SB277889361,5098348.0,226.0,22559.06,926417.0,78.0,689.0,7.0,270805.0,6.0,163342.0,11.0,48669.0,23.0,SB277889361,494454.0,95267.0,387.0,70195.0,24707.0,0.0,16.0,0.0,0.0,131553.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2017.0,North America,United States,SB27,10_KP_FUTI_CN-005,02/10/2017,CA,1.0,Pennsylvania,0.0,,WELLCOME_Run_1,Escherichia coli,40.9699889,-77.7278831,134,9417a9e058435143110ab6457e0a48127d3adaa3,Escherichia coli
SB277889444,Escherichia coli,100.0,0.00826969,0.0,725/1000,823.0,6162737,3976195,good,SB277889444,5610808.0,552.0,10164.51,400122.0,78.0,785.0,8.0,166137.0,12.0,110737.0,20.0,31596.0,38.0,SB277889444,572181.0,67216.0,697.0,48828.0,18405.0,0.0,574.0,0.0,0.0,81572.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2017.0,North America,United States,SB27,32_KP_FUTI_CN-007,17/10/2017,CA,0.0,Nebraska,0.0,,WELLCOME_Run_1,Escherichia coli,41.7370229,-99.5873816,1551,e6616e1427bc84fbc4e6e80212cf8951871bfad1,Escherichia coli
SB2710445487,Escherichia coli,100.0,0.00505504,0.0,817/1000,823.0,6162737,3976195,good,SB2710445487,5114315.0,249.0,20539.42,548795.0,78.0,1466.0,15.0,148881.0,11.0,118958.0,19.0,51120.0,32.0,SB2710445487,721140.0,48276.0,289.0,34895.0,13191.0,0.0,105.0,0.0,0.0,31.0,Non contaminated,Non contaminated,Non contaminated,Turkey,2018.0,North America,United States,SB27,21_KP_FUTI_CN-052_M2,27/08/2018,CA,1.0,Indiana,0.0,,WELLCOME_Run_9,Escherichia coli,40.3270127,-86.1746933,10,2,Escherichia coli
SB277889613,Escherichia coli,100.0,0.0100623,0.0,680/1000,823.0,6162737,3976195,good,SB277889613,4824007.0,286.0,16867.16,399631.0,78.0,396.0,5.0,162806.0,10.0,86840.0,17.0,48402.0,33.0,SB277889613,555651.0,56057.0,291.0,40610.0,15011.0,0.0,1582.0,0.0,0.0,109651.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2017.0,North America,United States,SB27,11_KP_FUTI_CN-013,27/11/2017,CA,1.0,California,1.0,,WELLCOME_Run_1,Escherichia coli,36.7014631,-118.755997,515,6a07bd8cf762a5b36d966f01a4ba727cc7f62c83,Escherichia coli
SB277889635,Escherichia coli,100.0,0.00451781,0.0,834/1000,823.0,6162737,3976195,good,SB277889635,5158174.0,282.0,18291.4,545867.0,78.0,594.0,6.0,231704.0,8.0,161413.0,13.0,31078.0,28.0,SB277889635,611976.0,36104.0,360.0,26104.0,10012.0,0.0,19.0,0.0,0.0,73210.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2017.0,North America,United States,SB27,48_KP_FUTI_CN-013,27/11/2017,CA,1.0,California,1.0,,WELLCOME_Run_1,Escherichia coli,36.7014631,-118.755997,101,88,Escherichia coli
SB279408821,Escherichia coli,100.0,0.00366686,0.0,862/1000,823.0,6162737,3976195,good,SB279408821,5216816.0,230.0,22681.81,741512.0,78.0,488.0,5.0,421714.0,5.0,270922.0,8.0,128994.0,14.0,SB279408821,710179.0,97170.0,841.0,71506.0,25417.0,0.0,6.0,0.0,0.0,61.0,Non contaminated,Non contaminated,Non contaminated,Turkey,2020.0,North America,United States,SB27,28_KP_FUTI_CN-118_M2,02/03/2020,CA,0.0,Minnesota,0.0,,WELLCOME_Run_6,Escherichia coli,45.9896587,-94.6113288,141,134,Escherichia coli
SB2710445559,Escherichia coli,100.0,0.00146992,0.0,941/1000,823.0,6162737,3976195,good,SB2710445559,5277180.0,221.0,23878.64,469808.0,78.0,872.0,9.0,218747.0,8.0,180665.0,13.0,63711.0,22.0,SB2710445559,639216.0,98027.0,558.0,71793.0,25718.0,0.0,27.0,0.0,0.0,36.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,26387_KP_Clinical,06/07/2020,,,,,,WELLCOME_Run_9,Escherichia coli,,,131,43,Escherichia coli
SB279408582,Escherichia coli,100.0,0.00467416,0.0,829/1000,823.0,6162737,3976195,good,SB279408582,5042427.0,260.0,19393.95,423988.0,78.0,389.0,4.0,148583.0,11.0,109116.0,18.0,43627.0,32.0,SB279408582,769960.0,37882.0,364.0,27301.0,10392.0,0.0,96.0,0.0,0.0,28.0,Non contaminated,Non contaminated,Non contaminated,Turkey,2019.0,North America,United States,SB27,12_KP_FUTI_CN-109_M2,09/12/2019,CA,0.0,Minnesota,0.0,,WELLCOME_Run_6,Escherichia coli,45.9896587,-94.6113288,4138,a2196f61cced35ab8f177462a9f907d7ac2ebfa4,Escherichia coli
SB278344684,Escherichia coli,100.0,0.000656154,0.0,973/1000,823.0,6162737,3976195,good,SB278344684,5106219.0,179.0,28526.36,523603.0,78.0,1267.0,13.0,303478.0,7.0,187961.0,12.0,109141.0,19.0,SB278344684,530115.0,91992.0,326.0,67516.0,23991.0,0.0,29.0,0.0,0.0,64.0,Non contaminated,Non contaminated,Non contaminated,Human,2017.0,North America,United States,SB27,2872_KP_Clinical,06/07/2017,,,,,,WELLCOME_Run_2,Escherichia coli,,,1193,53,Escherichia coli
SB2711672589,Escherichia coli,100.0,0.00075568,0.0,969/1000,823.0,6162737,3976195,good,SB2711672589,5129532.0,153.0,33526.35,592726.0,78.0,485.0,5.0,422734.0,5.0,222514.0,9.0,113182.0,15.0,SB2711672589,639863.0,97023.0,877.0,71460.0,25511.0,0.0,15.0,0.0,0.0,80.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,27501_KP_Clinical,10/09/2020,,,,,,WELLCOME_Run_9,Escherichia coli,,,95,1,Escherichia coli
SB278791703,Escherichia coli,100.0,0.00617965,0.0,783/1000,823.0,6162737,3976195,good,SB278791703,5184171.0,198.0,26182.68,621962.0,78.0,878.0,9.0,263580.0,7.0,204392.0,11.0,52958.0,20.0,SB278791703,646059.0,88807.0,692.0,64679.0,23886.0,0.0,13.0,0.0,0.0,73.0,Non contaminated,Non contaminated,Non contaminated,Human,2017.0,North America,United States,SB27,5313_KP_Clinical,21/11/2017,,,,,,WELLCOME_Run_5,Escherichia coli,,,349,722,Escherichia coli
SB2711674013,Escherichia coli,100.0,0.00723198,0.0,753/1000,823.0,6162737,3976195,good,SB2711674013,4653230.0,135.0,34468.37,890477.0,78.0,589.0,6.0,174087.0,7.0,123511.0,13.0,58025.0,24.0,SB2711674013,700408.0,37206.0,187.0,26663.0,10256.0,0.0,4.0,0.0,0.0,23.0,Non contaminated,Non contaminated,Non contaminated,Pork,2021.0,North America,United States,SB27,22_DC_MEAT_CN-134_M3,05/11/2021,DC,0.0,Missouri,0.0,,WELLCOME_Run_9,Escherichia coli,38.7604815,-92.5617875,641,86,Escherichia coli
SB279408057,Escherichia coli,100.0,0.00638544,0.0,777/1000,823.0,6162737,3976195,good,SB279408057,5142621.0,284.0,18107.82,300446.0,78.0,590.0,6.0,87724.0,19.0,61232.0,33.0,21952.0,60.0,SB279408057,689263.0,36768.0,919.0,26981.0,10245.0,0.0,139.0,0.0,0.0,10.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2019.0,North America,United States,SB27,34_KP_FUTI_CN-080_M1,08/04/2019,CA,1.0,Pennsylvania,0.0,,WELLCOME_Run_6,Escherichia coli,40.9699889,-77.7278831,155,21,Escherichia coli
SB2710196257,Escherichia coli,100.0,0.00369655,0.0,861/1000,823.0,6162737,3976195,good,SB2710196257,5073968.0,191.0,26565.28,490522.0,78.0,1073.0,11.0,255975.0,7.0,181605.0,12.0,50974.0,23.0,SB2710196257,527492.0,90377.0,864.0,66049.0,24228.0,0.0,164.0,0.0,0.0,102919.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2021.0,North America,United States,SB27,28_KP_FUTI_CN-121_M1,03/05/2021,CA,1.0,California,1.0,,WELLCOME_Run_7,Escherichia coli,36.7014631,-118.755997,117,48,Escherichia coli
SB2710441829,Escherichia coli,100.0,0.00492718,0.0,821/1000,823.0,6162737,3976195,good,SB2710441829,4983226.0,381.0,13079.33,335260.0,78.0,777.0,8.0,93704.0,17.0,49250.0,32.0,17786.0,63.0,SB2710441829,779644.0,36613.0,518.0,26602.0,10019.0,0.0,162.0,0.0,0.0,17.0,Non contaminated,Non contaminated,Non contaminated,Turkey,2021.0,North America,United States,SB27,24_KP_FUTI_CN-123_M2,17/05/2021,CA,1.0,Pennsylvania,0.0,,WELLCOME_Run_7,Escherichia coli,40.9699889,-77.7278831,155,21,Escherichia coli
SB2710445073,Escherichia coli,100.0,0.00305472,0.0,883/1000,823.0,6162737,3976195,good,SB2710445073,5071298.0,145.0,34974.47,583765.0,78.0,687.0,7.0,370129.0,6.0,344618.0,8.0,83668.0,15.0,SB2710445073,672070.0,97247.0,323.0,71289.0,25296.0,0.0,34.0,0.0,0.0,103.0,Non contaminated,Non contaminated,Non contaminated,Human,2019.0,North America,United States,SB27,17651_KP_Clinical,21/05/2019,,,,,,WELLCOME_Run_9,Escherichia coli,,,12,35,Escherichia coli
SB278791533,Escherichia coli,100.0,0.00989629,0.0,684/1000,823.0,6162737,3976195,good,SB278791533,5111557.0,225.0,22718.03,405629.0,78.0,590.0,6.0,183539.0,10.0,108968.0,17.0,44897.0,30.0,SB278791533,695610.0,39395.0,583.0,28607.0,10906.0,0.0,51.0,0.0,0.0,31.0,Non contaminated,Non contaminated,Non contaminated,Turkey,2018.0,North America,United States,SB27,9_KP_FUTI_CN-058_M2,09/10/2018,CA,1.0,California,1.0,,WELLCOME_Run_5,Escherichia coli,36.7014631,-118.755997,1844,0a654dd4987b2a2884e82e8ac1f059d3223b3c4f,Escherichia coli
SB2710196298,Escherichia coli,100.0,0.00194597,0.0,923/1000,823.0,6162737,3976195,good,SB2710196298,5227432.0,385.0,13577.75,551618.0,78.0,704.0,12.0,315255.0,6.0,175022.0,11.0,87366.0,20.0,SB2710196298,717078.0,98969.0,685.0,72646.0,25891.0,0.0,16.0,0.0,0.0,82.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,24812_KP_Clinical,24/03/2020,,,,,,WELLCOME_Run_7,Escherichia coli,,,127,33,Escherichia coli
SB2710445223,Escherichia coli,100.0,0.00726808,0.0,752/1000,823.0,6162737,3976195,good,SB2710445223,5059030.0,340.0,14879.5,581839.0,78.0,786.0,8.0,189433.0,9.0,104515.0,16.0,42419.0,30.0,SB2710445223,697406.0,39393.0,1007.0,28846.0,11086.0,0.0,394.0,0.0,0.0,33.0,Non contaminated,Non contaminated,Non contaminated,Beef,2019.0,North America,United States,SB27,11_KP_FUTI_CN-089_M4,17/06/2019,CA,0.0,California,1.0,,WELLCOME_Run_9,Escherichia coli,36.7014631,-118.755997,1592,31306f3e18dd07f27ef794131c5621d4c3ddff31,Escherichia coli
SB278790860,Escherichia coli,100.0,0.00224371,0.0,912/1000,823.0,6162737,3976195,good,SB278790860,5126804.0,148.0,34640.57,622929.0,78.0,383.0,4.0,356162.0,6.0,227276.0,9.0,73125.0,16.0,SB278790860,639250.0,95812.0,509.0,70436.0,24976.0,0.0,13.0,0.0,0.0,63.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,7516_KP_Clinical,28/02/2018,,,,,,WELLCOME_Run_4,Escherichia coli,,,12,35,Escherichia coli
SB2710196097,Escherichia coli,100.0,0.00240836,0.0,906/1000,823.0,6162737,3976195,good,SB2710196097,5402692.0,757.0,7136.98,725603.0,78.0,1873.0,33.0,362223.0,6.0,183606.0,11.0,35039.0,19.0,SB2710196097,514956.0,95307.0,503.0,69627.0,24973.0,0.0,30.0,0.0,0.0,110889.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,24063_KP_Clinical,18/02/2020,,,,,,WELLCOME_Run_7,Escherichia coli,,,1193,53,Escherichia coli
SB279407897,Escherichia coli,100.0,0.00411762,0.0,847/1000,823.0,6162737,3976195,good,SB279407897,4638373.0,311.0,14914.38,388590.0,78.0,1226.0,14.0,186534.0,9.0,114931.0,15.0,47019.0,29.0,SB279407897,679465.0,47157.0,319.0,34066.0,12960.0,0.0,101.0,0.0,0.0,21.0,Non contaminated,Non contaminated,Non contaminated,Beef,2019.0,North America,United States,SB27,15_KP_FUTI_CN-074_M4,25/02/2019,CA,0.0,California,1.0,,WELLCOME_Run_6,Escherichia coli,36.7014631,-118.755997,398,57,Escherichia coli
SB277889772,Escherichia coli,100.0,0.00505504,0.0,817/1000,823.0,6162737,3976195,good,SB277889772,5026773.0,286.0,17576.13,394862.0,78.0,980.0,10.0,143701.0,12.0,78776.0,22.0,36031.0,41.0,SB277889772,593924.0,49421.0,297.0,35800.0,13423.0,0.0,40.0,0.0,0.0,78008.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2017.0,North America,United States,SB27,43_KP_FUTI_CN-017,26/12/2017,CA,1.0,California,1.0,,WELLCOME_Run_1,Escherichia coli,36.7014631,-118.755997,34,638,Escherichia coli
SB278344656,Escherichia coli,100.0,0.00197282,0.0,922/1000,823.0,6162737,3976195,good,SB278344656,5229315.0,163.0,32081.69,769078.0,78.0,585.0,6.0,388456.0,5.0,246156.0,9.0,129198.0,14.0,SB278344656,526462.0,95372.0,594.0,70190.0,24978.0,0.0,46.0,0.0,0.0,74.0,Non contaminated,Non contaminated,Non contaminated,Human,2017.0,North America,United States,SB27,2732_KP_Clinical,24/06/2017,,,,,,WELLCOME_Run_2,Escherichia coli,,,95,b149e4541f43c8b0b94f9d51495127d4e2f4a92a,Escherichia coli
SB279408116,Escherichia coli,100.0,0.00483188,0.0,824/1000,823.0,6162737,3976195,good,SB279408116,5459259.0,297.0,18381.34,606347.0,78.0,586.0,6.0,207649.0,8.0,145691.0,14.0,38192.0,27.0,SB279408116,634715.0,91686.0,481.0,66674.0,24586.0,0.0,1609.0,0.0,0.0,89.0,Non contaminated,Non contaminated,Non contaminated,Chicken,2019.0,North America,United States,SB27,22_KP_FUTI_CN-084_M1,06/05/2019,CA,1.0,California,1.0,,WELLCOME_Run_6,Escherichia coli,36.7014631,-118.755997,1276,7cda30e50c4d25f5122442e34a1c433fe349258d,Escherichia coli
SB278790447,Escherichia coli,100.0,0.00178577,0.0,929/1000,823.0,6162737,3976195,good,SB278790447,5163496.0,184.0,28062.48,514013.0,78.0,584.0,6.0,363940.0,6.0,189232.0,11.0,93473.0,18.0,SB278790447,526381.0,95384.0,698.0,70229.0,24965.0,0.0,178.0,0.0,0.0,48.0,Non contaminated,Non contaminated,Non contaminated,Human,2018.0,North America,United States,SB27,12900_KP_Clinical,23/10/2018,,,,,,WELLCOME_Run_3,Escherichia coli,,,95,1,Escherichia coli
SB2710445637,Escherichia coli,100.0,0.00448671,0.0,835/1000,823.0,6162737,3976195,good,SB2710445637,4726241.0,185.0,25547.25,525187.0,78.0,208.0,3.0,217750.0,7.0,186419.0,11.0,75458.0,19.0,SB2710445637,700948.0,36493.0,364.0,26361.0,10029.0,0.0,58.0,0.0,0.0,19.0,Non contaminated,Non contaminated,Non contaminated,Human,2020.0,North America,United States,SB27,27100_KP_Clinical,10/08/2020,,,,,,WELLCOME_Run_9,Escherichia coli,,,6021,4c0ec091d698c52207d3c20bc41ca5012f46eb36,Escherichia coli
